location,date,population,total_cases,infection_rate_percentage
Albania,03/01/2020,2842318,,
Albania,04/01/2020,2842318,,
Albania,05/01/2020,2842318,,
Albania,06/01/2020,2842318,,
Albania,07/01/2020,2842318,,
Albania,08/01/2020,2842318,,
Albania,09/01/2020,2842318,,
Albania,10/01/2020,2842318,,
Albania,11/01/2020,2842318,,
Albania,12/01/2020,2842318,,
Albania,13/01/2020,2842318,,
Albania,14/01/2020,2842318,,
Albania,15/01/2020,2842318,,
Albania,16/01/2020,2842318,,
Albania,17/01/2020,2842318,,
Albania,18/01/2020,2842318,,
Albania,19/01/2020,2842318,,
Albania,20/01/2020,2842318,,
Albania,21/01/2020,2842318,,
Albania,22/01/2020,2842318,,
Albania,23/01/2020,2842318,,
Albania,24/01/2020,2842318,,
Albania,25/01/2020,2842318,,
Albania,26/01/2020,2842318,,
Albania,27/01/2020,2842318,,
Albania,28/01/2020,2842318,,
Albania,29/01/2020,2842318,,
Albania,30/01/2020,2842318,,
Albania,31/01/2020,2842318,,
Albania,01/02/2020,2842318,,
Albania,02/02/2020,2842318,,
Albania,03/02/2020,2842318,,
Albania,04/02/2020,2842318,,
Albania,05/02/2020,2842318,,
Albania,06/02/2020,2842318,,
Albania,07/02/2020,2842318,,
Albania,08/02/2020,2842318,,
Albania,09/02/2020,2842318,,
Albania,10/02/2020,2842318,,
Albania,11/02/2020,2842318,,
Albania,12/02/2020,2842318,,
Albania,13/02/2020,2842318,,
Albania,14/02/2020,2842318,,
Albania,15/02/2020,2842318,,
Albania,16/02/2020,2842318,,
Albania,17/02/2020,2842318,,
Albania,18/02/2020,2842318,,
Albania,19/02/2020,2842318,,
Albania,20/02/2020,2842318,,
Albania,21/02/2020,2842318,,
Albania,22/02/2020,2842318,,
Albania,23/02/2020,2842318,,
Albania,24/02/2020,2842318,,
Albania,25/02/2020,2842318,,
Albania,26/02/2020,2842318,,
Albania,27/02/2020,2842318,,
Albania,28/02/2020,2842318,,
Albania,29/02/2020,2842318,,
Albania,01/03/2020,2842318,,
Albania,02/03/2020,2842318,,
Albania,03/03/2020,2842318,,
Albania,04/03/2020,2842318,,
Albania,05/03/2020,2842318,,
Albania,06/03/2020,2842318,,
Albania,07/03/2020,2842318,,
Albania,08/03/2020,2842318,,
Albania,09/03/2020,2842318,,
Albania,10/03/2020,2842318,,
Albania,11/03/2020,2842318,2,7.04E-05
Albania,12/03/2020,2842318,10,0.000351826
Albania,13/03/2020,2842318,15,0.000527738
Albania,14/03/2020,2842318,23,0.000809199
Albania,15/03/2020,2842318,33,0.001161024
Albania,16/03/2020,2842318,38,0.001336937
Albania,17/03/2020,2842318,42,0.001477667
Albania,18/03/2020,2842318,51,0.00179431
Albania,19/03/2020,2842318,55,0.00193504
Albania,20/03/2020,2842318,59,0.002075771
Albania,21/03/2020,2842318,64,0.002251683
Albania,22/03/2020,2842318,70,0.002462779
Albania,23/03/2020,2842318,76,0.002673874
Albania,24/03/2020,2842318,98,0.00344789
Albania,25/03/2020,2842318,104,0.003658985
Albania,26/03/2020,2842318,123,0.004327454
Albania,27/03/2020,2842318,146,0.005136653
Albania,28/03/2020,2842318,174,0.006121764
Albania,29/03/2020,2842318,186,0.006543955
Albania,30/03/2020,2842318,197,0.006930963
Albania,31/03/2020,2842318,212,0.007458701
Albania,01/04/2020,2842318,223,0.007845709
Albania,02/04/2020,2842318,243,0.00854936
Albania,03/04/2020,2842318,259,0.009112281
Albania,04/04/2020,2842318,277,0.009745567
Albania,05/04/2020,2842318,304,0.010695496
Albania,06/04/2020,2842318,333,0.01171579
Albania,07/04/2020,2842318,361,0.012700901
Albania,08/04/2020,2842318,377,0.013263822
Albania,09/04/2020,2842318,383,0.013474917
Albania,10/04/2020,2842318,400,0.014073021
Albania,11/04/2020,2842318,409,0.014389664
Albania,12/04/2020,2842318,416,0.014635942
Albania,13/04/2020,2842318,433,0.015234045
Albania,14/04/2020,2842318,446,0.015691418
Albania,15/04/2020,2842318,467,0.016430252
Albania,16/04/2020,2842318,475,0.016711712
Albania,17/04/2020,2842318,494,0.017380181
Albania,18/04/2020,2842318,518,0.018224562
Albania,19/04/2020,2842318,539,0.018963395
Albania,20/04/2020,2842318,548,0.019280038
Albania,21/04/2020,2842318,562,0.019772594
Albania,22/04/2020,2842318,584,0.02054661
Albania,23/04/2020,2842318,609,0.021426174
Albania,24/04/2020,2842318,634,0.022305738
Albania,25/04/2020,2842318,663,0.023326032
Albania,26/04/2020,2842318,678,0.02385377
Albania,27/04/2020,2842318,712,0.025049977
Albania,28/04/2020,2842318,726,0.025542533
Albania,29/04/2020,2842318,736,0.025894358
Albania,30/04/2020,2842318,750,0.026386914
Albania,01/05/2020,2842318,766,0.026949835
Albania,02/05/2020,2842318,773,0.027196112
Albania,03/05/2020,2842318,782,0.027512755
Albania,04/05/2020,2842318,789,0.027759033
Albania,05/05/2020,2842318,795,0.027970129
Albania,06/05/2020,2842318,803,0.028251589
Albania,07/05/2020,2842318,820,0.028849692
Albania,08/05/2020,2842318,832,0.029271883
Albania,09/05/2020,2842318,842,0.029623709
Albania,10/05/2020,2842318,850,0.029905169
Albania,11/05/2020,2842318,856,0.030116264
Albania,12/05/2020,2842318,868,0.030538455
Albania,13/05/2020,2842318,872,0.030679185
Albania,14/05/2020,2842318,876,0.030819915
Albania,15/05/2020,2842318,880,0.030960646
Albania,16/05/2020,2842318,898,0.031593931
Albania,17/05/2020,2842318,916,0.032227217
Albania,18/05/2020,2842318,933,0.032825321
Albania,19/05/2020,2842318,946,0.033282694
Albania,20/05/2020,2842318,948,0.033353059
Albania,21/05/2020,2842318,949,0.033388242
Albania,22/05/2020,2842318,964,0.03391598
Albania,23/05/2020,2842318,969,0.034091893
Albania,24/05/2020,2842318,981,0.034514083
Albania,25/05/2020,2842318,989,0.034795544
Albania,26/05/2020,2842318,998,0.035112187
Albania,27/05/2020,2842318,1004,0.035323282
Albania,28/05/2020,2842318,1029,0.036202846
Albania,29/05/2020,2842318,1050,0.036941679
Albania,30/05/2020,2842318,1076,0.037856426
Albania,31/05/2020,2842318,1099,0.038665624
Albania,01/06/2020,2842318,1122,0.039474823
Albania,02/06/2020,2842318,1137,0.040002561
Albania,03/06/2020,2842318,1143,0.040213657
Albania,04/06/2020,2842318,1164,0.04095249
Albania,05/06/2020,2842318,1184,0.041656141
Albania,06/06/2020,2842318,1197,0.042113514
Albania,07/06/2020,2842318,1212,0.042641253
Albania,08/06/2020,2842318,1232,0.043344904
Albania,09/06/2020,2842318,1246,0.043837459
Albania,10/06/2020,2842318,1263,0.044435563
Albania,11/06/2020,2842318,1299,0.045702135
Albania,12/06/2020,2842318,1341,0.047179802
Albania,13/06/2020,2842318,1385,0.048727834
